名称,住所,緯度,経度
白瀬南極探検隊記念館,日本、〒018-0302 秋田県にかほ市黒川岩潟１５−３,39.2680573,139.9253706
田沢湖郷土史料館,日本、〒014-1204 秋田県仙北市田沢湖田沢春山１９７,39.7347929,140.6983198
仁別森林博物館,日本、〒010-0824 秋田県秋田市仁別字務沢国有林２２ 務沢国有林２２,39.8032915,140.262633
秋田県立農業科学館,日本、〒014-0073 秋田県大仙市内小友中沢１７１−４,39.4369353,140.4390272
ノースアジア大学雪国民俗館,日本、〒010-0058 秋田県秋田市下北手桜守沢４６−１,39.716466,140.1581064
秋田県立博物館,日本、〒010-0124 秋田県秋田市金足鳰崎後山５２,39.8173963,140.0662231
フェライト子ども科学館,日本、〒018-0402 秋田県にかほ市平沢宝田４−１,39.2848653,139.9609241
秋田犬会館,日本、〒017-0897 秋田県大館市三ノ丸１３−１,40.273208,140.56406
宮城県,日本、宮城県,38.630612,141.1193048
石ノ森萬画館,日本、〒986-0823 宮城県石巻市中瀬２−７,38.4295764,141.3107607
大崎市三本木亜炭記念館,日本、〒989-6321 宮城県大崎市三本木大豆坂６３−２４,38.521669,140.938337
大崎市松山酒ミュージアム,日本、〒987-1304 宮城県大崎市松山千石松山２４２,38.5116741,141.0519287
大崎市松山ふるさと歴史館,日本、〒987-1304 宮城県大崎市松山千石松山４２８,38.5118402,141.0515848
カメイ美術館,日本、〒980-0022 宮城県仙台市青葉区五橋１丁目１−２３ カメイ五橋ビル,38.2547272,140.8812636
感覚ミュージアム,日本、〒989-6434 宮城県大崎市岩出山下川原町１００,38.6567743,140.8704616
魚竜館,,,
気仙沼市大谷鉱山歴史資料館,日本、〒988-0278 宮城県気仙沼市本吉町高瀬ヶ森５８−１６,38.814719,141.527402
仙台市科学館,日本、〒981-0903 宮城県仙台市青葉区台原森林公園４−１ 仙台市科学館,38.2989916,140.8832544
仙台市戦災復興記念館,日本、〒980-0804 宮城県仙台市青葉区大町２丁目１２−１,38.26085,140.8670467
