名称,住所,緯度,経度
滋賀県立美術館,日本、〒520-2122 滋賀県大津市瀬田南大萱町１７４０−１,34.9704146,135.9419859
滋賀県立陶芸の森,日本、〒529-1804 滋賀県甲賀市信楽町勅旨２１８８−７ 滋賀県立陶芸の森,34.8856786,136.0588812
京都市美術館,日本、〒606-8343 京都府京都市左京区岡崎円勝寺町１２４,35.0128613,135.7835544
京都府立堂本印象美術館,日本、〒603-8355 京都府京都市北区平野上柳町２６−３,35.0351389,135.7260629
京都府立陶板名画の庭,日本、〒606-0823 京都府京都市左京区下鴨半木町 京都府立陶板名画の庭,35.0506555,135.7654428
福知山市佐藤太清記念美術館,日本、〒620-0035 京都府福知山市岡ノ３２−６４,35.2974336,135.1302685
奈良県立美術館,日本、〒630-8213 奈良県奈良市登大路町１０−６,34.6858549,135.832503
奈良市杉岡華邨書道美術館,日本、〒630-8337 奈良県奈良市脇戸町３,34.6779075,135.8292316
入江泰吉記念奈良市写真美術館,日本、〒630-8301 奈良県奈良市高畑町６００−１,34.6755897,135.8454204
奈良市美術館,日本、〒630-8012 奈良県奈良市二条大路南１丁目１−３−１ ミ・ナーラ ５階,34.6850085,135.8023229
大阪府立江之子島文化芸術創造センター,日本、〒550-0006 大阪府大阪市西区江之子島２丁目１−３４ 大阪府立江之子島文化芸術創造センター,34.6812642,135.4837694
大阪市立美術館,日本、〒543-0063 大阪府大阪市天王寺区茶臼山町１−８２,34.650116,135.5103522
大阪市立東洋陶磁美術館,日本、〒530-0005 大阪府大阪市北区中之島１丁目１−２６ 大阪市立東洋陶磁美術館,34.6934353,135.5054521
堺市立文化館,日本、大阪府堺市,34.5733261,135.4831176
和泉市久保惣記念美術館,日本、〒594-1156 大阪府和泉市内田町３丁目６−５７ 久保惣記念美術館,34.4450219,135.4533753
尼崎市総合文化センター,日本、〒660-0881 兵庫県尼崎市昭和通２丁目７−１６,34.721113,135.420402
伊丹市立美術館,日本、〒664-0895 兵庫県伊丹市宮ノ前２丁目５−２０ 伊丹市立美術館,34.7825554,135.4173534
柿衞文庫,,,
西宮市大谷記念美術館,日本、〒662-0952 兵庫県西宮市中浜町４−３８,34.7321299,135.3245208
芦屋市立美術博物館,日本、〒659-0052 兵庫県芦屋市伊勢町１２−２５,34.7218682,135.310515
兵庫県公館,日本、〒650-0011 兵庫県神戸市中央区下山手通４丁目４−１,34.69074,135.1847851
兵庫県立美術館「芸術の館」,日本、〒651-0073 兵庫県神戸市中央区脇浜海岸通１丁目１−１,34.699249,135.2182538
神戸市立小磯記念美術館,日本、〒658-0032 兵庫県神戸市東灘区向洋町中５丁目７ 六甲アイランド公園内,34.6928218,135.2672234
神戸ファッション美術館,日本、〒658-0032 兵庫県神戸市東灘区向洋町中２丁目９−１,34.6881619,135.2701558
神戸ゆかりの美術館,日本、〒658-0032 兵庫県神戸市東灘区向洋町中２丁目９−１,34.6882513,135.2701446
姫路市立美術館,日本、〒670-0012 兵庫県姫路市本町６８−２５,34.8393867,134.6965097
姫路市書写の里・美術工芸館,日本、〒671-2201 兵庫県姫路市書写１２２３,34.8805744,134.6664528
赤穂市立田淵記念館,日本、〒678-0215 兵庫県赤穂市御崎３１４−１０,34.7307287,134.4068584
岡之山美術館,日本、〒677-0039 兵庫県西脇市上比延町３４５−１,35.0021246,134.997942
篠山市立歴史美術館,日本、〒669-2322 兵庫県丹波篠山市呉服町５３,35.0772147,135.2198647
兵庫陶芸美術館,日本、〒669-2135 兵庫県丹波篠山市今田町上立杭４,34.9837829,135.1311601
